date;T;Tmax;Tmin;Rh;Rh_max;Rh_min;solar_radiation_W_m2;Wind;Precipitations;Pressure_mbar
14/04/2015;29.8986875;34.572;24.992;75.33125;96.1;54.6;308.35625;0.125;0;1004.875
15/04/2015;27.9532916666667;34.36;23.328;85.8583333333333;98.8;61.7;220.7125;0.0729166666666667;0;1005.775
16/04/2015;26.5429166666667;31.001;24.557;90.5458333333333;98.1;72.1;144.308333333333;0.1775;2.2;1007.275
17/04/2015;26.9768333333333;33.94;23.448;86.75;99.5;60.4;239.683333333333;0.377083333333333;13.8;1005.97083333333
18/04/2015;27.3857083333333;33.469;22.92;86.2583333333333;99.4;61.4;208.6375;0.177916666666667;2.4;1004.8
19/04/2015;26.780625;34.15;23.497;87.7291666666667;99.2;60.3;218.945833333333;0.355833333333333;14.6;1005.53333333333
20/04/2015;27.2823333333333;32.691;23.472;86.35;99.4;63;214.829166666667;0.230416666666667;0;1005.2375
21/04/2015;27.2956666666667;32.794;23.545;88.9125;99.3;66.7;188.8375;0.0833333333333333;2;1004.74166666667
22/04/2015;25.8650416666667;34.624;23.136;92.5125;99.8;67.8;224.470833333333;0.24125;21.8;1004.95833333333
23/04/2015;26.398875;32.794;22.896;88.5625;100;60.6;246.191666666667;0.305;33.61;1005.63333333333
24/04/2015;26.394;32.175;23.376;89.225;100;61.7;255.091666666667;0.1675;5.8;1005.32083333333
25/04/2015;24.6726666666667;28.816;23.088;95.7833333333333;99.9;87.1;86.6541666666667;0.315;4.2;1005.85416666667
26/04/2015;26.3417916666667;32.458;22.345;89.5625;100;65.6;190.5125;0.0416666666666667;2.6;1005.52916666667
27/04/2015;26.7788333333333;32.665;23.689;87.8541666666666;99.9;62.3;212.754166666667;0.189166666666667;0.2;1005.51666666667
28/04/2015;26.3252916666667;32.073;23.28;88.2625;99.6;67.5;229.525;0.40875;0;1005.71666666667
29/04/2015;27.4416666666667;33.887;23.304;87.3916666666667;98.9;66.1;217.591666666667;0.135833333333333;0;1005.57916666667
30/04/2015;25.9585833333333;33.053;23.04;91.1791666666667;99.9;68.7;194.104166666667;0.24125;25.4;1005.65833333333
01/05/2015;27.7067916666667;34.097;24.267;84.5333333333333;98.3;59.1;221.245833333333;0.377916666666667;33.01;1005.65833333333
02/05/2015;27.6040416666667;34.387;23.256;84.0875;99.4;56.2;244.3625;0.294166666666667;0.6;1005.7375
03/05/2015;26.4117083333333;32.975;23.593;89.9291666666667;98.3;65;154.629166666667;0.115;2.2;1006.44166666667
04/05/2015;27.226625;32.742;23.208;85.0625;97.9;65.2;214.520833333333;0.39875;0;1006.37083333333
